staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0.5,1.0,54.971048999985214,,54.95555539999623,54.971048999985214,55.470951099996455,55.470951099996455,55.470951099996455,55.77055839996319,55.80541849997826,left,-1.0,0,0,0.31983529997523874,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
46,0.5,1.5,55.820225699979346,,55.805527699994855,55.820225699979346,56.32013289997121,56.32013289997121,56.32013289997121,56.6198502999614,56.97038969997084,left,-1.5,0,0,0.6453012999845669,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
47,0.5,2.0,56.98614009999437,,56.970484899997246,56.98614009999437,57.48608050000621,57.48608050000621,57.48608050000621,57.78569220000645,58.01952329999767,right,2.0,1,1,0.5222753999987617,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
48,0.5,2.0,58.03484589996515,,58.019628099980764,58.03484589996515,58.534393499954604,58.534393499954604,58.534393499954604,58.83399939996889,59.201560899964534,left,-2.0,1,1,0.6598725999938324,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
49,0.5,2.0,59.21784249995835,,59.20164970000042,59.21784249995835,59.717869899992365,59.717869899992365,59.717869899992365,60.01720349997049,60.30036539997673,left,-2.0,0,0,0.5684825999778695,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
50,0.5,2.5,60.316151799983345,,60.30045829998562,60.316151799983345,60.79947859997628,60.79947859997628,60.816222699999344,61.099003899958916,61.33312169997953,right,2.5,1,1,0.5282022000174038,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
51,0.5,2.5,61.34894100000383,,61.333247800008394,61.34894100000383,61.84877489996143,61.84877489996143,61.84877489996143,62.16491140000289,62.46564859995851,left,-2.5,1,1,0.6001806000131182,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
52,0.5,2.5,62.48194179998245,,62.46573830000125,62.48194179998245,62.98205439996673,62.98205439996673,62.98205439996673,63.29702820000239,63.48209259996656,right,2.5,1,1,0.4985426999628544,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
53,0.5,2.0,63.496358199976385,,63.482219199999236,63.496358199976385,63.99688559997594,63.99688559997594,63.99688559997594,64.29665809997823,64.51387389999582,left,-2.0,1,1,0.5129890999523923,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
54,0.5,2.0,64.53000410000095,,64.51396459998796,64.53000410000095,65.02928429999156,65.02928429999156,65.02928429999156,65.32846039999276,65.7121728999773,right,2.0,1,1,0.6760817000176758,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
