trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
70,0,70,0,125.731102500009,,125.67613420000998,10,125.731102500009,125.731102500009,0.03587880000122823,127.51083949999884,[-0.25092592592592594],[0.14351851851851852],[1],[0],[0],[1.7992402000090806],[],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
71,0,71,0,127.57043340000382,,127.51583329999994,10,127.57043340000382,127.57043340000382,0.037984700000379235,129.4101621000009,[0.4324074074074074],[-0.10648148148148148],[1],[0],[0],[1.8567911999998614],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
72,0,72,0,129.447720199998,,129.41502490000858,,129.447720199998,129.447720199998,0.020990399993024766,130.96552800000063,[-0.29074074074074074],[-0.1685185185185185],[1],[0],[0],[1.5297941000026185],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
73,0,73,0,131.0334021000017,,130.97029690000636,10,131.0334021000017,131.0334021000017,0.04496830000425689,132.33933020000404,[0.23055555555555557],[-0.31574074074074077],[1],[0],[0],[1.3244370000029448],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
74,0,74,0,132.37835440000345,,132.34406650000892,,132.37835440000345,132.37835440000345,0.020269899992854334,133.36338530000648,[0.27037037037037037],[-0.2564814814814815],[1],[0],[0],[0.9993740000063553],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
75,0,75,0,133.44162399999914,,133.36797469999874,10,133.44162399999914,133.44162399999914,0.04692110000178218,134.6355506999971,[0.22777777777777777],[-0.1537037037037037],[1],[0],[0],[1.2209098000021186],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
76,0,76,0,134.6733424999984,,134.64028600000893,,134.6733424999984,134.6733424999984,0.020699600005173124,136.65933470000164,[-0.32222222222222224],[0.27685185185185185],[1],[0],[0],[1.9987406000000192],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
77,0,77,0,136.69728629999736,,136.6641174999968,,136.69728629999736,136.69728629999736,0.021395399991888553,137.94124070000544,[-0.2851851851851852],[-0.009259259259259259],[1],[0],[0],[1.2561687999987043],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
78,0,78,0,137.97775560000446,,137.9460642000049,,137.97775560000446,137.97775560000446,0.019182200005161576,140.3060353000037,[0.25092592592592594],[-0.2564814814814815],[1],[0],[0],[2.3411838000029093],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
79,0,79,0,140.3628052999993,,140.31054340000264,10,140.3628052999993,140.3628052999993,0.03573360000154935,142.22755280000274,[-0.41388888888888886],[-0.4462962962962963],[1],[0],[0],[1.8816499000095064],[],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
