trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr&,participant,session,date,expName,psychopyVersion,frameRate,expStart,
104,0,104,0,167.36049490000005,,167.32673179998528,5,167.36049490000005,167.36049490000005,0.020896300004096702,168.51989460000186,[-0.13055555555555556],[-0.1935185185185185],[1],[0],[0],[1.1726823000062723],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
105,0,105,0,168.57909299997846,,168.52483189999475,,168.57909299997846,168.57909299997846,0.03732510001282208,169.98609669998405,[0.25833333333333336],[-0.17685185185185184],[1],[0],[0],[1.4242839999787975],[],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
106,0,106,0,170.02394909999566,,169.99063159999787,5,170.02394909999566,170.02394909999566,0.019986100000096485,171.88410599998315,[-0.3435185185185185],[-0.2064814814814815],[1],[0],[0],[1.8738605999969877],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
107,0,107,0,171.92186010000296,,171.88891829998465,5,171.92186010000296,171.92186010000296,0.020678500004578382,174.51529009998194,[-0.05092592592592592],[0.3388888888888889],[1],[0],[0],[2.6061090000148397],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
108,0,108,0,174.55190379999112,,174.51979469999787,5,174.55190379999112,174.55190379999112,0.019990500004496425,176.51264539998374,[-0.375],[-0.25555555555555554],[1],[0],[0],[1.9732466000132263],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
109,0,109,0,176.55097719997866,,176.51736679999158,5,176.55097719997866,176.55097719997866,0.02097199999843724,179.29390140000032,[0.25462962962962965],[-0.1787037037037037],[1],[0],[0],[2.755733300000429],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
110,0,110,0,179.33367979998002,,179.29897179998807,5,179.33367979998002,179.33367979998002,0.020375899999635294,181.32564309998997,[0.040740740740740744],[-0.4722222222222222],[1],[0],[0],[2.006511799991131],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
111,0,111,0,181.38463089999277,,181.3303492999985,,181.38463089999277,181.38463089999277,0.03736739998566918,182.91494309998234,[-0.037037037037037035],[0.37222222222222223],[1],[0],[0],[1.5476458000193816],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
112,0,112,0,182.9742403999844,,182.92240559999482,5,182.9742403999844,182.9742403999844,0.03238670001155697,184.57253899998614,[0.03611111111111111],[-0.11666666666666667],[1],[0],[0],[1.6185938999988139],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
113,0,113,0,184.6074311999837,,184.57700479999767,5,184.6074311999837,184.6074311999837,0.019168099999660626,185.95432269998128,[-0.3814814814814815],[0.32314814814814813],[1],[0],[0],[1.358485600008862],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
